Timestamp,Source_IP,Packet_Count,Action
2026-02-05 12:50:37,192.168.0.103,72,BLOCKED
2026-02-05 13:16:01,192.168.0.103,71,BLOCKED
2026-02-05 13:16:01,23.212.0.11,84,BLOCKED
2026-02-05 13:19:51,192.168.0.103,69,BLOCKED
2026-02-05 13:19:51,23.212.0.11,74,BLOCKED
2026-02-05 13:21:14,150.171.27.10,482,BLOCKED
2026-02-05 13:21:25,192.168.0.1,210,BLOCKED
2026-02-05 13:21:25,142.250.206.132,74,BLOCKED
2026-02-05 13:21:25,185.199.108.154,380,BLOCKED
2026-02-05 13:21:25,140.82.113.21,63,BLOCKED
2026-02-05 13:21:36,20.207.73.82,128,BLOCKED
2026-02-05 13:22:51,20.60.237.161,64,BLOCKED
2026-02-05 13:23:35,142.250.207.174,258,BLOCKED
2026-02-05 13:23:35,142.250.207.163,247,BLOCKED
2026-02-05 13:23:35,142.250.195.72,261,BLOCKED
